;Nazwa;Kategoria;zdjecie;Cena zawiera podatek. (brutto);Opis;Ilosc
442;  Kinkiet LED Hayley z wiszącą kulą, chrom ;45;"https://lw-cdn.com/images/C7B44FBF9EEA/k_1f3342a8def005e81d115bd7f7035382;w_353;h_353;q_70/kinkiet-led-hayley-z-wiszaca-kula-chrom.jpg"; 282,85zł ;Ekstrawagancki kształt kinkietu LED Hayley z wiszącym szklanym kloszem i błyszczącą chromowaną ramką ścienną  Hayley ma okrągły uchwyt ścienny, z którego schodzi wygięte ramię. Oba elementy są chromowane na wysoki połysk, co wygląda bardzo nowocześnie, a z ramienia w górnej części wychodzi linka, która prowadzi do szklanej kuli jak w klasycznej lampie wiszącej. Kula ta jest przezroczysta i została wykonana z atrakcyjnego szkła bąbelkowego, natomiast część dolna posiada metalowy element, który, podobnie jak podstawa, jest utrzymany w chromie. Światło może wyjść bezpośrednio i pośrednio, przy czym bezpośrednia część światła jest bardziej miękka dzięki satynowanej powierzchni szklanej na dole klosza. Technologia LED lampy ściennej zapewnia niskie zużycie energii.  Pobierz:   Instrukcja obsługi                    (292 KB) ;50
443;  Kinkiet Marley, stary mosiądz, Up & Down ;45;"https://lw-cdn.com/images/8013DB23C444/k_75b323103f7b82574e3e6bfe6f0b0ae2;w_353;h_353;q_70/kinkiet-marley-stary-mosiadz-up-down.jpg"; 105,61zł ;;50
444;  Ekskluzywna lampa ścienna Karla ;45;"https://lw-cdn.com/images/841E2D405B46/k_5946d587eb0ab2a65fcb1f483038b1be;w_353;h_353;q_70/ekskluzywna-lampa-scienna-karla.jpg"; 190,98zł ;Lampa ścienna ze sklepieniem Karla ze szkła i metalu  Ta lampa ścienna urzeka wspaniałym wyglądem, szklany klosz tworzy lekkie sklepienie i jest uzupełniany od dołu metalową aplikacją o matowej niklowanej powierzchni. Lampa Karla umieszczona na ścianie wygląda bardzo elegancko i oczywiście nowocześnie. Satynowana wkładka ze szkła powoduje miękkie i ciepłe rozprowadzanie światła, przy czym wybór źródła światła jest w pełnym sensie nieograniczony, ponieważ oprawka E-27 pozwala na zastosowanie zarówno żarówek, jak i halogenów oraz wydajnych i oszczędnych lamp LED.  Pobierz:   Instrukcja obsługi                    (398 KB) ;50
445;  Malthe - nowoczes. lampa ścienna ze szkła i metalu ;45;"https://lw-cdn.com/images/768DA191C44B/k_01b9441a740b8e4512d3f6d201bc2765;w_353;h_353;q_70/malthe-nowoczes-lampa-scienna-ze-szkla-i-metalu.jpg"; 170,65zł ;Piękna lampa ścienna Malthe ze szkła i metalu  Ta lampa ścienna urzeka bardzo pięknym widokiem, szklany klosz wystaje ku górze, a na dole jest uzupełniany przez metalowy element z połyskującego chromu. Lampa Malthe umieszczona na ścianie wygląda bardzo elegancko i oczywiście nowocześnie. Satynowana wkładka ze szkła powoduje miękkie i ciepłe rozprowadzanie światła, przy czym wybór źródła światła jest w pełnym sensie nieograniczony, ponieważ oprawka E-27 pozwala na zastosowanie zarówno żarówek, jak i halogenów oraz wydajnych i oszczędnych lamp LED.  Pobierz:   Instrukcja obsługi                    (311 KB) ;50
446;  Spot ścienny Corralee, biały, 1-punktowy ;45;"https://lw-cdn.com/images/542299967CE4/k_3561763cef6999cbf3118324c8343e6d;w_353;h_353;q_70/spot-scienny-corralee-bialy-1-punktowy.jpg";90,98zł;;50
447;  Lampa ścienna Yola ze szklanym kloszem, chrom ;45;"https://lw-cdn.com/images/DDDA50DD5CE3/k_e4883abba41a39fe01fbc9a8626427c5;w_353;h_353;q_70/lampa-scienna-yola-ze-szklanym-kloszem-chrom.jpg"; 120,24zł ;Elegancka lampa ścienna Yola z białym półprzezroczystym szklanym kloszem  Ta stylowa i prosta lampa ma harmonijny i wysublimowany wygląd. Klosz z półprzezroczystego mlecznego szkła zapewnia miłe dla oka światło nie powodujące efektu oślepienia. Cokół wykonano tu ze stali, a jego chromowane wykończenie nadaje całości efektowne, nowoczesne akcenty.  Lampa ścienna Yola może zostać wyposażona w trzy energooszczędne żarówki E27. Należy je nabyć oddzielnie. Wreszcie, co nie mniej ważne, model Yola współgra z klasycznymi, ponadczasowymi pomysłami wnętrzarskimi, a także pasuje do nostalgicznego stylu wyposażenia. Pobierz:   Instrukcja obsługi                    (343 KB) ;50
448;  Lindby Stannis lampa ścienna tkanina matowy nikiel ;45;"https://lw-cdn.com/images/5C74D155D0C3/k_f6132b0d5ba2403ddf1f672a4ac1c380;w_353;h_353;q_70/lindby-stannis-lampa-scienna-tkanina-matowy-nikiel.jpg"; 69,02zł ;Lampa ścienna Stannis jako nowoczesne rozwiązanie oświetleniowe z tekstylnym kloszem  Elegancki klosz lampy ściennej Stannis został wykonany z białej tkaniny. Lampa nie tylko uzyskuje szczególny wygląd, ale również zapewnia doskonałe oświetlenie. Światło prześwieca delikatnie przez tkaninę i zanurza otoczenie w przyjemnym, miękkim świetle. Światło może bez przeszkód wydostawać się w dół, dzięki czemu zapewnione jest również wystarczające oświetlenie. Dzięki swojemu abstrakcyjnemu wyglądowi Stannis nadaje się jako uzupełniające źródło światła w nowoczesnym salonie lub sypialni.  ;50
449;  kinkiet LED Trinity - regulowana barwa światła ;45;"https://lw-cdn.com/images/26A0FF0ACE1D/k_d2a7512885770c53cc13c8dcac5ca261;w_353;h_353;q_70/kinkiet-led-trinity-regulowana-barwa-swiatla.jpg"; 188,54zł ;Prostokątna lampa ścienna Trinity z aluminium  Lampa ścienna Trinity charakteryzuje się nowoczesną grą z geometrycznymi kształtami. Skromny, prostokątny kształt lampy przerywany jest przez trójkątne konstrukcje reliefowe, nadające lampie dynamiczny, a jednocześnie elegancki wygląd.   Szlachetny wygląd podkreśla wysokiej jakości wykonanie z wytrzymałych materiałów. Tworzywa sztuczne i aluminium spotykają się tutaj, aby stworzyć całościowy, lśniący obraz. Zintegrowane lampy LED zapewniają jasne oświetlenie. Barwa światła może być ponadto ustawiana indywidualnie. Lampa ścienna może być również montowana na suficie, dzięki czemu może być używana na wiele różnych sposobów. ;50
450;  Kinkiet LED 2080 do montażu przy łóżku ;45;"https://lw-cdn.com/images/1EEDA988B832/k_758cf3576dd6ff45b69f469472035f15;w_353;h_353;q_70/kinkiet-led-2080-do-montazu-przy-lozku.jpg";178,90zł;Kinkiet LED 2080 z elastycznym ramieniem z płytą do montażu przy łóżku  Czy to po lewej, po prawej czy u góry przy łóżku - dzięki płycie montażowej regulowanej pod kątem 90°, kinkiet LED 2080 może być zamontowany w dowolnym miejscu. Długie ramię elastyczne oferuje maksymalną elastyczność pod względem orientacji światła, dzięki czemu pozycja światła może być optymalnie dopasowana podczas wieczornego czytania przed snem. Wyłącznik został zintegrowany z podstawą kątową lampy, dzięki czemu jest łatwo dostępny z łóżka. Kinkiet LED 2080 dostarczana jest z wymienną żarówką GU10 LED, długość przezroczystego kabla wynosi 180 cm. ;50
451;  Sterowany gestami ściemniany kinkiet LED Sten ;45;"https://lw-cdn.com/images/2E88A2EAC4F0/k_47819714ddcebc18fc1ce76d1949ba9a;w_353;h_353;q_70/sterowany-gestami-sciemniany-kinkiet-led-sten.jpg"; 290,16zł ;Kinkiet LED Sten – ściemniany poprzez sterowanie gestami  Innowacyjnie zaprojektowany kinkiet LED Sten nadaje się do wielu zastosowań. Wystarczy przykręcić go do ściany, np. nad łóżkiem w sypialni, a następnie będzie on emitować ciepłobiałe światło LED, które jest bardzo przytulne. Lampa ta tym samym staje się idealnym towarzyszem na długie wieczory z książką. Światło można płynnie przyciemniać za pomocą sterowania gestami i w ten sposób precyzyjnie dostosować je do swoich indywidualnych wymagań stawianych oświetleniu. ;50
452;  Czarny kinkiet LED Arina z drewnem ;45;"https://lw-cdn.com/images/6161BAC3139B/k_ab4b2f1d1aaf5856fea40f118faf5681;w_353;h_353;q_70/czarny-kinkiet-led-arina-z-drewnem.jpg"; 108,86zł ;Połączenie czarnego metalu z jasnym drewnem: kinkiet LED Arina Dzięki stylowemu, nieco purystycznemu wyglądowi i drobnemu drewnianemu elementowi, Arina doskonale pasuje do tych stylów aranżacji wnętrz, które można przypisać skandynawskiemu wzornictwu, gdzie przytulność i nowoczesna prostolinijność tworzą doskonałe połączenie.  Klosz można przesuwać zgodnie z życzeniem, a dzięki technologii LED, zastosowanej w żarówkach, podczas pracy z lampą ścienną Arina można mieć pewność, że zużywa się tylko niewiele energii elektrycznej, choć światło jest jasne i bardzo komfortowe. Pobierz:   Instrukcja obsługi                    (542 KB) ;50
453;  Kinkiet LED Shanghai 1-pkt. 3 000 K czarna ;45;"https://lw-cdn.com/images/CA972E80A345/k_5524d5430d47fa17e092176aa0cc3899;w_353;h_353;q_70/kinkiet-led-shanghai-1-pkt-3-000-k-czarna.jpg";398,29zł;Purystyczna lampa ścienna LED Szanghaj  Wąski pręt zamocowany na okrągłym uchwycie ściennym, czyli lampa ścienna Szanghaj. Ciepłobiałe diody LED są ustawione w kierunku ściany, dzięki czemu oświetlają pomieszczenie tylko pośrednio. Wykonany w całości z czarnego aluminium, Shanghai nadaje ścianie znaczną długość i pasuje do nowoczesnych i minimalistycznych wnętrz. Dzięki przejrzystemu, bezpretensjonalnemu wzornictwu, energooszczędna oprawa ścienna LED jest bardzo popularna zarówno w prywatnych pomieszczeniach mieszkalnych i sypialnych, jak i w budynkach użyteczności publicznej czy obiektach hotelowych. ;50
454;  Arrchio kinkiet LED Thiago biały ;45;"https://lw-cdn.com/images/93A5C227B225/k_e7107e6087d96317dc9d80e0b6b86141;w_353;h_353;q_70/arrchio-kinkiet-led-thiago-bialy.jpg"; 305,61zł ;Smukła lampa ścienna LED Thiago w kolorze białym  Nowoczesny, smukły wygląd i dyskretna kolorystyka są połączone w lampie ściennej Thiago LED. Korpus lampy składa się z uchwytu ściennego i wąskiego rozpórki, które są wykonane z aluminium. Jego diody LED są montowane tak, że siedzą za rozpórką i świecą swoim światłem na ścianie. Dzięki temu ciekawemu ułożeniu światła, lampa ścienna Thiago LED jest otoczona i podkreślona własnym światłem. Ciepłe białe światło diod LED tworzy przyjemną atmosferę i jest idealne do oświetlenia akcentującego. Ale także niewielkie rozmiary oprawy sprawiają, że jest ona idealnym towarzyszem w oświetleniu korytarzy. Jest o wiele bardziej oszczędny w przestrzeni niż wiszące oprawy ścienne, a jego prosty wygląd sprawia, że jest doskonałym uzupełnieniem nowoczesnego stylu projektowania wnętrz. Pobierz:   Instrukcja obsługi                    (333 KB)    Photometric Data LDT                    (9 KB)    Dimension drawing                    (99 KB) ;50
455;  Spot ścienny LED ELAINA, matowy nikiel ;45;"https://lw-cdn.com/images/A75A39474F8D/k_9f0818ab428ceddda516fd3a3cb68015;w_353;h_353;q_70/spot-scienny-led-elaina-matowy-nikiel.jpg"; 77,15zł ;Piękna lampa ścienna ELAINA ze szkła opalowego z żarówką LED E14  Klosz tej lampy ściennej ma kształt kuli i został wykonany ze szkła opalowego, dzięki czemu daje łagodne, przyjemne światło. Znajdujący się na podstawie włącznik dźwigniowy umożliwia szybką obsługę lampy, dlatego z powodzeniem można umieścić ją nad fotelem, kanapą lub łóżkiem.   Dostawa obejmuje żarówkę LED E14 w ciepłym białym kolorze o wysokiej energooszczędności.  Pobierz:   Instrukcja obsługi                    (593 KB) ;50
456;  Lampa ścienna POLA na wysięgniku ;45;"https://lw-cdn.com/images/F05E88D8A5B5/k_e8ebde0d884ccc7eb93e17042dacb4d2;w_353;h_353;q_70/lampa-scienna-pola-na-wysiegniku.jpg";294,23zł;Atrakcyjna lampa ścienna POLA o klasycznym designie  Ta lampa ścienna wraz z materiałowym abażurem w szampańskim kolorze oraz podstawą w kolorze mosiądzu wprost emanuje klasyką. Dlatego doskonale odnajdzie się we wnętrzach urządzonych w klasycznym stylu. Materiałowy abażur o jasnej, ciepłej barwie rozprasza światło w formie przyjemnej poświaty i został uzupełniony o elegancki mosiężny kolor w postaci podstawy o polerowanej powierzchni. Cechą charakterystyczną tej lampy jest znajdujący się pod abażurem przegub, który umożliwia regulację wysięgu, co stwarza wiele możliwości ustawiania lampy i dostosowywania światła do własnych potrzeb. W ten sposób abażur można obracać i przyciągać do siebie. Pobierz:   Instrukcja obsługi                    (328 KB) ;50
457;  Materiałowa lampa ścienna POLA z wysięgnikiem ;45;"https://lw-cdn.com/images/ED2CF296A8D9/k_ca6025bdcb0f5e718d402374c3533d9d;w_353;h_353;q_70/materialowa-lampa-scienna-pola-z-wysiegnikiem.jpg"; 247,07zł ;Atrakcyjna materiałowa lampa ścienna POLA z białym abażurem na wysięgniku  Zastosowana kolorystyka nadaje lampie POLA nowoczesny wygląd, z kolei formą nawiązuje ona do klasyki. To harmonijne połączenie czyni z niej ponadczasowe źródło światła, z do tego biały materiałowy abażur sprawi, że wpasuje się w każdy wystrój wnętrza. Idealnie spisze się nad łóżkiem lub sofą. Wbudowany przegub pozwala na przyciąganie abażuru do siebie, z kolei wbudowany przełącznik umożliwia wygodne włączanie i wyłączanie lampy.  Pobierz:   Instrukcja obsługi                    (336 KB) ;50
458;  Lindby Wanessa spot, 1-punktowy ;45;"https://lw-cdn.com/images/2DADBDFBA9ED/k_a793d49e16d6edd66a70efd4f7cc1995;w_353;h_353;q_70/lindby-wanessa-spot-1-punktowy.jpg"; 97,48zł ;Mały spot sufitowy Wanessa - odpowiedni również na ścianie  1-punktowy spot sufitowy Wanessa wyposażony jest w szlachetne połączenie jasnego drewna i satynowej bieli. Klosz utrzymany w bieli znajduje się na rozecie sufitowej z jasnego drewna o pięknej fakturze. Klosz jest ruchomy dzięki przegubowi, dzięki czemu może być w każdej chwili regulowany i indywidualnie dostosowywany. Reflektor sufitowy Wanessa może być również zainstalowany na ścianie i wykorzystywany jako małe dodatkowe źródło światła, na przykład do czytania w salonie.  Pobierz:   Instrukcja obsługi                    (193 KB) ;50
459;  Lindby Evinora reflektor ścienny z drewna ;45;"https://lw-cdn.com/images/683A0BBCE6F2/k_7c3448d7e2b426014a8ecc63f9b02eb8;w_353;h_353;q_70/lindby-evinora-reflektor-scienny-z-drewna.jpg"; 80,41zł ;Trendowy ścienny reflektor Evinora wykonany z udanego połączenia materiałów  Evinora to piękny kinkiet, który przyciąga wszystkie oczy swoim ciemnym kloszem. Szczególnie imponuje połączeniem różnych materiałów. Podczas gdy rama wykonana jest z lekkiego drewna, klosz cylindryczny wykonany jest ze stali.  Światło jest emitowane ze wszystkich stron, przy czym optyka klosza zapewnia indywidualne akcenty świetlne. Nie ma żadnych ograniczeń w doborze oświetlacza do gniazda E14, a energooszczędny oświetlacz LED w modnej optyce żarniwnej jest tutaj oferowany. ;50
460;  Kinkiet LED Lagos z przełącznikiem, czarny ;45;"https://lw-cdn.com/images/C08D2408A78A/k_e01b1b11f4dd7be2028863eb463e27d4;w_353;h_353;q_70/kinkiet-led-lagos-z-przelacznikiem-czarny.jpg";181,22zł;;50
461;  Lampa ścienna 997 z wtyczką, 1-punktowa, czarna ;45;"https://lw-cdn.com/images/0D8D0489E7D4/k_2a19c2dbb298ca3e0383f1f320872a80;w_353;h_353;q_70/lampa-scienna-997-z-wtyczka-1-punktowa-czarna.jpg"; 353,58zł ;;50
462;  Lindby Marit kinkiet LED gips, stopniowany ;45;"https://lw-cdn.com/images/298691745655/k_87d964e84e58a2335fff2f0280ccc247;w_353;h_353;q_70/lindby-marit-kinkiet-led-gips-stopniowany.jpg"; 199,92zł ;Gipsowa lampa ścienna LED Marit o stopniowanym wyglądzie  Marit to prawdziwie czarujące źródło światła dla strefy mieszkalnej. Efekt świetlny jest naprawdę niesamowity, ponieważ powstaje piękna gra światła i cienia. Dzieje się tak dzięki stopniowanej konstrukcji klosza, ponieważ umożliwia ona wydostawanie się światła w różnych miejscach. Pobierz:   Instrukcja obsługi                    (500 KB) ;50
463;  Kinkiet Circle o okrągłym kształcie, czarny ;45;"https://lw-cdn.com/images/80C65B352B45/k_62252df33568c97b9e3c9817c728f020;w_353;h_353;q_70/kinkiet-circle-o-okraglym-ksztalcie-czarny.jpg"; 94,23zł ;;50
464;  Kinkiet Enoire czarno-biały, 3-punktowy ;45;"https://lw-cdn.com/images/FA92D5629F4C/k_e79e796dd61e39e74efb7a051d8a05d6;w_353;h_353;q_70/kinkiet-enoire-czarno-bialy-3-punktowy.jpg";652,76zł;"Lampa ścienna czarno-biała Enoire z trzema szklanymi kloszami  Trzystopniowa oprawa ścienna Enoire charakteryzuje się kontrastowymi kształtami i kolorami uchwytu ściennego oraz kloszy. Ten pierwszy jest wykonany z aluminium i ma kształt długiego, prostokątnego paska w kolorze czarnym. Podtrzymuje on odcienie w pozycji asymetrycznej; dwa są montowane jako para na jednym końcu, podczas gdy jeden odcień stoi oddzielnie. Ich kuliste kule są wykonane ze szkła opalowego, dzięki czemu równomierne i rozproszone światło jest emitowane we wszystkich kierunkach. W zależności od preferencji, Enoire może być montowany pionowo, poziomo lub pod kątem. Oprawa ścienna może być łączona na różne sposoby z nowoczesnymi wnętrzami, zarówno w pomieszczeniach prywatnych jak i publicznych. ";50
465;  Lindby Jolka lampka do czytania LED mosiądz ;45;"https://lw-cdn.com/images/987FC35ED9AC/k_14d1d8350dfd22543a201725cac1aa23;w_353;h_353;q_70/lindby-jolka-lampka-do-czytania-led-mosiadz.jpg"; 126,75zł ;Kinkiet LED Jolka zapewnia przyjemne światło do czytania  Dzięki diodowej lampce do czytania Jolka można czytać do późnych godzin nocnych. Kiedy na dworze robi się powoli ciemno, Jolka wkracza do akcji. Kinkiet jest obsługiwany za pomocą małego włącznika na uchwycie ściennym. Jasne diody LED świecą i oświetlają niewielką powierzchnię. Dzięki elastycznemu ramieniu, stożek świetlny może być różnie ustawiony. Satynowa pokrywa zapewnia równomierny rozkład światła, a także nie oślepia.  Pobierz:   Instrukcja obsługi                    (374 KB) ;50
466;  Lindby Kosta lampa ścienna z przełącznikiem nikiel ;45;"https://lw-cdn.com/images/D3A61EF898D5/k_64065532c0886d2eb29cf61b98594026;w_353;h_353;q_70/lindby-kosta-lampa-scienna-z-przelacznikiem-nikiel.jpg"; 120,24zł ;Lśniąca lampa ścienna Kosta z niklową podstawą i przełącznikiem  Lampa ścienna Kosta to naprawdę atrakcyjny obiekt oświetleniowy do mieszkania o szlachetnym wzornictwie. Ruchomy klosz, który jest mocowany do podstawy za pomocą przegubu, może być regulowany w zależności od potrzeb i charakteryzuje się eleganckim wyglądem, ponieważ jest wyposażony w przezroczyste, polerowane elementy szklane, które po włączeniu żarówki E14 tworzą piękny blask, który natychmiast zachwyci każdego obserwatora. Przełącznik znajduje się na okrągłej podstawie z powierzchnią w kolorze niklu, co ułatwia obsługę lampy ściennej Kosta z łóżka lub kanapy.  Pobierz:   Instrukcja obsługi                    (334 KB) ;50
467;  Lindby Ignazia lampa ścienna LED, 28 cm, czarna ;45;"https://lw-cdn.com/images/401607CDAD36/k_bb67ee45cebd8195678e0848084ff6d5;w_353;h_353;q_70/lindby-ignazia-lampa-scienna-led-28-cm-czarna.jpg"; 199,92zł ;Czarna lampa ścienna LED Ignazia wykonana z metalu dla przyjemnego oświetlenia salonu  Ignazia jest nowoczesnym elementem oświetleniowym o prostym wyglądzie, który szczególnie nadaje się do wnętrz purystycznych, ale dobrze komponuje się również z innymi stylami. Technologia LED w oprawie ściennej zapewnia dobrą wydajność energetyczną, a światło jest przyjemnie olśniewające. Lampa ścienna LED jest więc idealna do stosowania na korytarzach i w salonach, najlepiej jako oświetlenie akcentujące lub uzupełniające. Światło jest skierowane zarówno w górę jak i w dół, a matowa, czarna powierzchnia w atrakcyjny sposób udoskonala zredukowany design. Pobierz:   Instrukcja obsługi                    (484 KB) ;50
468;  Kinkiet LED Lagos, czarny ;45;"https://lw-cdn.com/images/5CC9CD25AC02/k_af492a0b7c6ec4d387b3adc1cac06248;w_353;h_353;q_70/kinkiet-led-lagos-czarny.jpg";138,13zł;;50
469;  Kinkiet LED Milow, elastyczne ramię, gniazdo USB ;45;"https://lw-cdn.com/images/2A4CF38540F6/k_93a9463254072809709a12309ccf2b3d;w_353;h_353;q_70/kinkiet-led-milow-elastyczne-ramie-gniazdo-usb.jpg"; 126,75zł ;Funkcjonalny biały kinkiet LED Milow z praktycznym elastycznym ramieniem i gniazdem USB do ładowania telefonu  W tym kinkiecie LED przełącznik jest zainstalowany w mocowaniu ściennym, a elastyczne ramię umożliwia ustawianie światła we wszystkich możliwych kierunkach. To oznacza, że Milow nadaje się w szczególności jako oświetlenie do czytania, które można ustawić obok łóżka czy sofy. Przemawia za tym również gniazdo USB, które umożliwia jednocześnie ładowanie telefonu lub innego urządzenia elektrycznego.  Pobierz:   Instrukcja obsługi                    (1.9 MB) ;50
470;  Kinkiet LED Nikolae, 40 cm, czarny ;45;"https://lw-cdn.com/images/E60754731928/k_1afa4a8eee50d26a7fa59094eda467ae;w_353;h_353;q_70/kinkiet-led-nikolae-40-cm-czarny.jpg"; 153,58zł ;Czarny kinkiet LED Nikolae o kanciastym kształcie  Kinkiet LED Nikolae nadaje się szczególnie do stosowania przede wszystkim w nowoczesnych salonach, gdyż ukośny kształt i wylot światła umieszczony z przodu oraz czarna powierzchnia sprawiają, że lampa emanuje chłodną elegancją i ma w sobie to coś. Światło może wydostawać się zarówno w górę, jak i w dół, dając przytulne oświetlenie, które nie oślepia. Światło diod LED charakteryzuje się dużą energooszczędnością, a i źródła światła są również uważane za trwałe.  ;50
471;  ELC Farida spot LED, nikiel, 1-punktowy ;45;"https://lw-cdn.com/images/84666BE68624/k_23f9266fb9c4e594082d6cdee81d0e38;w_353;h_353;q_70/elc-farida-spot-led-nikiel-1-punktowy.jpg"; 28,37zł ;Niklowany reflektor LED Farida z ruchomą głowicą lampy  Ten reflektor LED jest przeznaczony przede wszystkim do stosowania na ścianie, gdzie Farida jest praktyczną lampą. Głowicę można obracać i wychylać w celu precyzyjnego ustawienia światła. Spot wyposażony jest w bardzo dobrze widoczną żarówkę LED, która jest wydajna i ma przyjemną, przytulną barwę światła ciepłej bieli. Powierzchnia metalowej podstawy jest niklowana i podobnie jak kształt lampy sprawia wrażenie nowoczesnej, ale dyskretnej. Dzięki temu Farida nadaje się do szerokiego zakresu zastosowań.  ;50
472;  ELC Jördis lampa ścienna, G9, okrągła, czarna ;45;"https://lw-cdn.com/images/CD32EB1831AF/k_87c20c58e0d9898ef93bf3194c5b8875;w_353;h_353;q_70/elc-joerdis-lampa-scienna-g9-okragla-czarna.jpg"; 88,54zł ;Czarno-złota lampa ścienna Jördis w kształcie półkola, regulacja strumienia świetlnego  Jördis doskonale pasuje do nowoczesnego stylu wyposażenia wnętrz i jest lampą ścienną, która nie tylko przekonuje swoją czarno-złotą kolorystyką, ale również możliwością regulacji wzoru świetlnego poprzez regulację dwóch klap wewnątrz lampy, co pozwala na zmianę kąta emisji światła. Światło wydostaje się w górę i w dół z taką samą szerokością, albo strumień światła jest wąski i skoncentrowany z jednej strony oraz szeroki i rozłożysty z drugiej. Rezultatem jest efektowny obraz świetlny, który można podziwiać nawet w pewnej odległości od ściany i który jest szczególnie ciekawy, gdy kilka lamp ściennych zostanie zamontowanych obok siebie.  Pobierz:   Instrukcja obsługi                    (657 KB) ;50
473;  Lampa ścienna Vasilia, czarno-złota, 1-punktowa ;49;"https://lw-cdn.com/images/F3965BA271F5/k_027a51ff24052641046e1d79beb47ce7;w_353;h_353;q_70/lampa-scienna-vasilia-czarno-zlota-1-punktowa.jpg"; 96,67zł ;Lampa ścienna z tkaniny Vasilia w kolorach czarnym i złotym  Zapewnianie ukierunkowanego światła: lampa ścienna z tkaniny Vasilia tworzy promienny akcent w korytarzu lub w części mieszkalnej. Lampa o liniowej konstrukcji może być również używana w sypialni, gdzie pozwala uzyskać światło w ciemności.  Dzięki czarnej obudowie lampa prezentuje się jako dyskretny element przyciągający wzrok, który po włączeniu staje się prawdziwą atrakcją. Złote wnętrze nadaje światłu szlachetny połysk, samo zaś światło świeci w tył na ścianę, przedostając się przez tkaninę. W ten sposób specjalne obrazy lub inne bliskie sercu elementy wyposażenia mogą być oświetlone w nastrojowy sposób. Pobierz:   Instrukcja obsługi                    (328 KB) ;50
474;  Kinkiet LED Forrestal, szerokość 40 cm ;49;"https://lw-cdn.com/images/3E2C02E8CE4F/k_4e50573a2acf842fbef7d2bd30de6ce6;w_353;h_353;q_70/kinkiet-led-forrestal-szerokosc-40-cm.jpg"; 203,17zł ;;50
475;  Lindby Raisa lampa ścienna, latarnia, kolory rdzy ;49;"https://lw-cdn.com/images/51AD5B3B2DC3/k_ae2b1caa6e03a41c70302dbb3795e130;w_353;h_353;q_70/lindby-raisa-lampa-scienna-latarnia-kolory-rdzy.jpg"; 290,16zł ;Rustykalna lampa ścienna Raisa w kształcie latarni  Raisa jest wspaniałym elementem oświetleniowym dla wszystkich dekoratorów wnętrz, którzy cenią sobie nostalgiczny wygląd, ponieważ lampa ścienna została zaprojektowana w formie zabytkowej latarni sprzed stuleci, tyle że w tamtym czasie nie była ona jeszcze zasilana elektrycznie, ale prawdziwymi świecami lub naftą. Powierzchnia w kolorze rdzy jest również bardzo dobrze dopasowana do ogólnego wzornictwa i podkreśla nostalgiczny efekt pierwszorzędnej lampy ściennej Raisa. Do stosowania z żarówkami świecami E14.  Pobierz:   Instrukcja obsługi                    (427 KB) ;50
476;  Kinkiet LED Safia w falistej formie ;49;"https://lw-cdn.com/images/1FBB8568FA05/k_6819f69e8f948e20657b7d957ef40e4c;w_353;h_353;q_70/kinkiet-led-safia-w-falistej-formie.jpg"; 235,69zł ;Stylowy kinkiet LED Safia o nowoczesnym wyglądzie  Safia doskonale pasuje do purystycznego stylu wyposażenia wnętrz, dla którego charakterystyczna jest duża liczba nowoczesnych mebli. Elementy przytwierdzone do mocowania ściennego zamiast klosza mają filigranową, falistą formę, a jednocześnie stanowią podkład dla dużej liczby niewielkich diod LED emitujących światło o barwie ciepłej bieli. Światło diod jest bardzo jasne, a mimo to nie generuje dużego zużycia energii.  ;50
477;  Kinkiet LED Hayley z wiszącą kulą, złoty ;49;"https://lw-cdn.com/images/BAB6036D8708/k_f0330073b43a0dca7cf866403ed4bf4b;w_353;h_353;q_70/kinkiet-led-hayley-z-wiszaca-kula-zloty.jpg"; 282,85zł ;Wspaniałe, piękne światło dzięki złotemu kinkietowi LED Hayley z przezroczystą, szklaną kulą  Hayley jest bardzo ciekawym obiektem oświetleniowym, który wygląda atrakcyjnie zarówno pod względem optyki, jak i obrazu świetlnego. Szklana kula jest przezroczysta i ma niezwykle piękną strukturę bąbelkową, która tworzy wyjątkowe efekty. W dolnej części kulę uzupełnia metalowy element o lśniącym złotym odcieniu, dzięki czemu doskonale dopasowuje się do powierzchni podstawy i ramienia. Ramię to jest kątowe, a na końcu znajduje się linka, która prowadzi do klosza jak w lampie wiszącej. W ten sposób lampa ścienna staje się godnym uwagi obiektem oświetleniowym, któremu nie brakuje blasku i stylu.  Pobierz:   Instrukcja obsługi                    (375 KB) ;50
478;  Leonor - spot LED z efektem patyny ;49;"https://lw-cdn.com/images/C05345017880/k_c01c2572fffef52c9ef9fd661a0dde5d;w_353;h_353;q_70/leonor-spot-led-z-efektem-patyny.jpg"; 88,54zł ;Jednopunktowy spot LED Leonor z żarówką GU10 i efektem patyny  Lampa Leonor ma ruchomy klosz i można zamontować ją zarówno na ścianie, jak i na suficie. Spot LED jest stylizowany na antyczny, ponieważ cała powierzchnia wygląda tak, jakby wiele lat minęło od produkcji tej oprawy, a znaki czasu odcisnęły swój ślad na metalu. Całość zdobi efekt patyny, która odpowiada za proces starzenia metali.  Pobierz:   Instrukcja obsługi                    (359 KB) ;50
